### 蜃景幻界新月岛 北征之章
# ZoneId: 1346

hideall "--Reset--"
hideall "--sync--"

0.0 "--Reset--" ActorControl { command: "4000000F" } window 0,100000 jump 0
38.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
39.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
39.5 "突进" Ability { id: "C1D6", source: "舞动之剑" }
39.5 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
39.5 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
39.5 "回旋" Ability { id: "C1E2", source: "舞动之剑" }
39.5 "回旋" Ability { id: "C390", source: "舞动之剑" }
39.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
39.8 "秘法剑" Ability { id: "C1EC", source: "剑舞者" }
39.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
40.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
41.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
41.1 "突进" #Ability { id: "C20A", source: "舞动之剑" }
41.1 "突进" #Ability { id: "C20A", source: "舞动之剑" }
41.2 "秘法剑" Ability { id: "C1ED", source: "剑舞者" }
41.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
42.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
42.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
42.7 "--sync--" Ability { id: "C196", source: "剑舞者" }
43.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
43.1 "突进" Ability { id: "C1D6", source: "舞动之剑" }
43.1 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
43.1 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
43.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
44.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
44.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
45.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
45.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
46.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
47.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
47.2 "突进" #Ability { id: "C1D6", source: "舞动之剑" }
47.3 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
47.3 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
47.3 "突进" #Ability { id: "C1D6", source: "舞动之剑" }
47.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
47.6 "秘法剑" Ability { id: "C1E9", source: "剑舞者" }
47.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
48.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
49.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
49.1 "秘法剑" Ability { id: "C1ED", source: "剑舞者" }
49.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
50.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
50.7 "--sync--" Ability { id: "C196", source: "剑舞者" }
50.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
51.0 "突进" Ability { id: "C1D6", source: "舞动之剑" }
51.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
51.2 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
51.2 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
51.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
52.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
53.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
53.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
54.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
54.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
55.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
55.6 "回旋" Ability { id: "C1D7", source: "舞动之剑" }
55.6 "突进" Ability { id: "C1D6", source: "舞动之剑" }
55.6 "回旋" Ability { id: "C1E3", source: "舞动之剑" }
55.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
55.9 "秘法剑" Ability { id: "C1EA", source: "剑舞者" }
56.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
57.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
57.3 "突进" Ability { id: "C20A", source: "舞动之剑" }
57.4 "秘法剑" Ability { id: "C1ED", source: "剑舞者" }
57.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
58.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
58.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
58.9 "攻击" Ability { id: "C65F", source: "剑舞者" }
59.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
59.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
60.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
61.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
61.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
61.9 "攻击" Ability { id: "C65F", source: "剑舞者" }
62.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
62.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
63.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
63.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
64.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
65.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
65.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
66.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
66.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
67.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
68.1 "铁臂拳" #Ability { id: "4078", source: "" }
68.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
68.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
69.1 "剑技风暴" Ability { id: "C20B", source: "剑舞者" }
69.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
69.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
69.9 "剑技风暴" Ability { id: "C216", source: "剑舞者" }
70.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
70.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
71.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
72.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
72.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
72.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
73.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
73.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
74.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
74.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
75.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
75.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
75.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
76.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
77.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
77.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
78.1 "--sync--" Ability { id: "C196", source: "剑舞者" }
78.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
78.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
79.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
80.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
80.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
81.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
81.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
82.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
83.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
83.2 "风旋剑出鞘" Ability { id: "C1EE", source: "剑舞者" }
83.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
84.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
84.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
85.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
85.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
86.3 "攻击" Ability { id: "C65F", source: "剑舞者" }
86.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
87.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
87.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
88.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
88.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
89.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
89.4 "攻击" Ability { id: "C65F", source: "剑舞者" }
90.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
90.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
91.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
91.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
92.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
92.5 "攻击" Ability { id: "C65F", source: "剑舞者" }
92.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
93.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
94.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
94.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
95.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
95.5 "风旋剑" Ability { id: "C1EF", source: "剑舞者" }
95.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
96.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
96.5 "回转" Ability { id: "C1F1", source: "舞动之剑" }
96.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
97.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
98.1 "--sync--" Ability { id: "C503", source: "舞动之剑" }
98.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
98.5 "攻击" Ability { id: "C65F", source: "剑舞者" }
98.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
99.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
99.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
100.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
100.4 "回转" Ability { id: "C1F4", source: "舞动之剑" }
100.5 "突进" Ability { id: "C20A", source: "舞动之剑" }
100.5 "--sync--" Ability { id: "C196", source: "剑舞者" }
100.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
101.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
102.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
102.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
103.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
103.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
104.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
105.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
105.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
106.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
106.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
107.0 "剑舞" Ability { id: "C203", source: "剑舞者" }
107.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
107.6 "剑舞" Ability { id: "C204", source: "剑舞者" }
107.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
108.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
108.4 "剑舞" #Ability { id: "C205", source: "剑舞者" }
108.4 "剑舞" #Ability { id: "C205", source: "剑舞者" }
109.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
109.2 "剑舞" #Ability { id: "C206", source: "剑舞者" }
109.2 "剑舞" #Ability { id: "C206", source: "剑舞者" }
109.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
109.9 "剑舞" #Ability { id: "C207", source: "剑舞者" }
109.9 "剑舞" #Ability { id: "C207", source: "剑舞者" }
109.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
110.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
111.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
111.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
112.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
112.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
113.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
113.9 "攻击" Ability { id: "C65F", source: "剑舞者" }
114.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
114.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
115.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
115.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
116.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
116.4 "剑舞" #Ability { id: "C208", source: "剑舞者" }
117.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
117.0 "攻击" Ability { id: "C65F", source: "剑舞者" }
117.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
117.9 "剑舞" #Ability { id: "C208", source: "剑舞者" }
118.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
118.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
119.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
119.4 "剑舞" #Ability { id: "C208", source: "剑舞者" }
119.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
119.9 "攻击" Ability { id: "C65F", source: "剑舞者" }
120.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
120.7 "剑舞" #Ability { id: "C208", source: "剑舞者" }
120.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
121.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
121.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
122.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
122.7 "攻击" Ability { id: "C65F", source: "剑舞者" }
123.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
123.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
124.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
124.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
125.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
126.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
126.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
127.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
127.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
128.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
129.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
129.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
129.8 "剑技风暴" Ability { id: "C20B", source: "剑舞者" }
130.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
130.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
130.7 "剑技风暴" Ability { id: "C216", source: "剑舞者" }
130.8 "攻击" Ability { id: "C65F", source: "剑舞者" }
131.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
131.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
132.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
132.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
133.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
133.8 "攻击" Ability { id: "C65F", source: "剑舞者" }
134.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
134.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
135.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
135.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
136.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
136.8 "攻击" Ability { id: "C65F", source: "剑舞者" }
136.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
137.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
138.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
138.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
138.8 "--sync--" Ability { id: "C196", source: "剑舞者" }
139.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
139.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
140.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
140.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
141.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
142.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
142.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
143.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
143.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
143.9 "跃进步法" Ability { id: "C1F6", source: "剑舞者" }
144.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
144.5 "戳地" #Ability { id: "C1F7", source: "舞动之剑" }
144.5 "戳地" #Ability { id: "C1F7", source: "舞动之剑" }
145.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
145.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
146.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
146.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
147.2 "跃进步法" Ability { id: "C1F8", source: "剑舞者" }
147.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
148.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
148.6 "跃进步法" #Ability { id: "C1F9", source: "剑舞者" }
148.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
149.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
149.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
149.9 "跃进步法" #Ability { id: "C1F9", source: "剑舞者" }
150.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
150.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
151.2 "跃进步法" #Ability { id: "C1F9", source: "剑舞者" }
151.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
151.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
152.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
152.5 "跃进步法" #Ability { id: "C1F9", source: "剑舞者" }
153.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
153.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
153.9 "跃进步法" Ability { id: "C1FB", source: "剑舞者" }
154.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
154.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
155.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
156.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
156.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
157.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
157.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
158.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
158.6 "剑技爆发" Ability { id: "C217", source: "剑舞者" }
158.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
159.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
160.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
160.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
160.9 "剑气冲击" Ability { id: "C1FC", source: "舞动之剑" }
160.9 "剑气冲击" Ability { id: "C4B8", source: "舞动之剑" }
161.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
161.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
162.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
163.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
163.4 "剑气冲击" Ability { id: "C1FC", source: "舞动之剑" }
163.4 "剑气冲击" Ability { id: "C4B8", source: "舞动之剑" }
163.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
164.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
164.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
164.8 "剑气燃烧" Ability { id: "C1FD", source: "舞动之剑" }
165.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
165.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
166.3 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
166.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
167.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
168.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
168.3 "剑气冲击" #Ability { id: "C1FC", source: "舞动之剑" }
168.3 "剑气冲击" #Ability { id: "C4B8", source: "舞动之剑" }
168.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
169.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
169.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
170.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
170.8 "剑气冲击" #Ability { id: "C1FC", source: "舞动之剑" }
170.8 "剑气冲击" #Ability { id: "C4B8", source: "舞动之剑" }
170.9 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
171.5 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
172.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
172.3 "剑气燃烧" Ability { id: "C1FD", source: "舞动之剑" }
172.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
173.2 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
173.8 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
174.4 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
175.0 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
175.6 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
175.8 "剑气冲击" Ability { id: "C1FC", source: "舞动之剑" }
175.8 "剑气冲击" Ability { id: "C4B8", source: "舞动之剑" }
176.1 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
176.7 "--sync--" #Ability { id: "C1D2", source: "剑舞者" }
